file,full_path,lineno,msg,text,type
phoneme_model.py,phoneme_model.py,12,unexpected indent,from dataclasses import dataclass  # noqa: F401,unexpected_indent
phoneme_weight_map.py,phoneme_weight_map.py,10,unexpected indent,import json  # noqa: F401,unexpected_indent
phonology_core_unified.py,phonology_core_unified.py,18,unterminated string literal (detected at line 18),"""""""""",unterminated_string
progressive_integration_analysis.py,progressive_integration_analysis.py,14,unexpected indent,def analyze_progressive_integration():  # type: ignore[no-untyped def],unexpected_indent
progressive_vector_tracker.py,progressive_vector_tracker.py,34,unterminated string literal (detected at line 34),"""""""""",unterminated_string
remove_arabic_forever.py,remove_arabic_forever.py,14,unexpected indent,import os  # noqa: F401,unexpected_indent
run_all_nlp_engines.py,run_all_nlp_engines.py,6,unterminated string literal (detected at line 6),"""""""""",unterminated_string
run_syntax_fixes.py,run_syntax_fixes.py,8,unexpected indent,import logging,unexpected_indent
simple_test.py,simple_test.py,10,unexpected indent,import sys  # noqa: F401,unexpected_indent
surgical_syntax_repair.py,surgical_syntax_repair.py,13,unexpected indent,import ast,unexpected_indent
syllable_accomplishments.py,syllable_accomplishments.py,15,unexpected indent,def syllable_accomplishments_summary():  # type: ignore[no-untyped def],unexpected_indent
syllable_encoder.py,syllable_encoder.py,3,unexpected indent,"from typing import Optional,",unexpected_indent
syllable_mission_accomplished.py,syllable_mission_accomplished.py,14,unexpected indent,import json  # noqa: F401,unexpected_indent
syllable_model.py,syllable_model.py,12,unexpected indent,from dataclasses import dataclass  # noqa: F401,unexpected_indent
syllable_phonological_engine.py,syllable_phonological_engine.py,26,unexpected indent,import sys,unexpected_indent
targeted_syntax_scanner.py,targeted_syntax_scanner.py,9,unexpected indent,import os,unexpected_indent
ultimate_syntax_fix.py,ultimate_syntax_fix.py,8,unexpected indent,import re,unexpected_indent
ultimate_violation_eliminator.py,ultimate_violation_eliminator.py,25,unexpected indent,import re,unexpected_indent
ultimate_winsurf_eliminator.py,ultimate_winsurf_eliminator.py,21,unexpected indent,import ast,unexpected_indent
unified_phonemes.py,unified_phonemes.py,13,unexpected indent,from dataclasses import dataclass  # noqa: F401,unexpected_indent
validate_broken_files.py,validate_broken_files.py,8,unexpected indent,import os,unexpected_indent
validate_citations.py,validate_citations.py,14,unexpected indent,import re,unexpected_indent
verify_string_fixes.py,verify_string_fixes.py,7,unexpected indent,"import os,",unexpected_indent
violation_elimination_system.py,violation_elimination_system.py,14,unexpected indent,import re,unexpected_indent
winsurf_standards_library.py,winsurf_standards_library.py,21,unexpected indent,"from typing import Dict, List, Optional, Union, Any, Tuple, Set",unexpected_indent
winsurf_verification_system.py,winsurf_verification_system.py,17,unexpected indent,import json,unexpected_indent
xampp_arabic_phonology.py,xampp_arabic_phonology.py,5,unexpected indent,from __future__ import annotations,unexpected_indent
xampp_test_phonemes_matrix.py,xampp_test_phonemes_matrix.py,5,unexpected indent,import unittest  # noqa: F401,unexpected_indent
yellow_line_eliminator.py,yellow_line_eliminator.py,21,unexpected indent,import re,unexpected_indent
zero_layer_phonology.py,zero_layer_phonology.py,25,unexpected indent,import logging  # noqa: F401,unexpected_indent
backup_unified_plugin_manager.py,archive\backup_unified_plugin_manager.py,11,unexpected indent,import logging,unexpected_indent
base_engine.py,core\base_engine.py,28,unexpected indent,from datetime import datetime,unexpected_indent
engine.py,core\engine.py,16,unexpected indent,"from typing import Dict, List, Any, Optional",unexpected_indent
hierarchical_graph_engine.py,core\hierarchical_graph_engine.py,10,unexpected indent,import logging,unexpected_indent
inflection.py,core\inflection.py,15,unexpected indent,class InflectionEngine:,unexpected_indent
morphology.py,core\morphology.py,15,unexpected indent,class MorphologyEngine:,unexpected_indent
phonology.py,core\phonology.py,15,unexpected indent,class PhonologyEngine:,unexpected_indent
unified_arabic_engine.py,core\unified_arabic_engine.py,14,unexpected indent,import sys,unexpected_indent
__init__.py,core\__init__.py,21,unexpected indent,from .phonology import PhonologyEngine,unexpected_indent
advanced_arabic_function_words_generator.py,experimental\advanced_arabic_function_words_generator.py,15,unexpected indent,import sys  # noqa: F401,unexpected_indent
advanced_arabic_phonology_system.py,experimental\advanced_arabic_phonology_system.py,22,unexpected indent,"from typing import Dict, List, Set, Tuple, Optional, Any",unexpected_indent
advanced_arabic_proper_names_generator.py,experimental\advanced_arabic_proper_names_generator.py,17,unexpected indent,import random,unexpected_indent
advanced_arabic_vector_generator.py,experimental\advanced_arabic_vector_generator.py,20,unexpected indent,import re,unexpected_indent
advanced_ast_syntax_fixer.py,experimental\advanced_ast_syntax_fixer.py,11,unterminated string literal (detected at line 11),"""""""""",unterminated_string
advanced_complex_word_demo.py,experimental\advanced_complex_word_demo.py,21,unexpected indent,from complete_arabic_phonological_coverage import (,unexpected_indent
arabic_demonstrative_evaluation.py,experimental\arabic_demonstrative_evaluation.py,19,unexpected indent,import torch  # noqa: F401,unexpected_indent
arabic_demonstrative_pronouns_deep_model.py,experimental\arabic_demonstrative_pronouns_deep_model.py,17,unexpected indent,import torch.nn as nn,unexpected_indent
arabic_demonstrative_pronouns_generator.py,experimental\arabic_demonstrative_pronouns_generator.py,19,unexpected indent,import logging  # noqa: F401,unexpected_indent
arabic_function_words_generator.py,experimental\arabic_function_words_generator.py,28,unexpected indent,import re,unexpected_indent
arabic_function_words_generator_clean.py,experimental\arabic_function_words_generator_clean.py,15,unexpected indent,import random,unexpected_indent
arabic_interrogative_pronouns_generator.py,experimental\arabic_interrogative_pronouns_generator.py,18,unexpected indent,import logging  # noqa: F401,unexpected_indent
arabic_mathematical_generator.py,experimental\arabic_mathematical_generator.py,19,unexpected indent,import random,unexpected_indent
ARABIC_MATH_GENERATOR_COMPLETION_REPORT.py,experimental\ARABIC_MATH_GENERATOR_COMPLETION_REPORT.py,18,unexpected indent,import json  # noqa: F401,unexpected_indent
arabic_morphological_weight_generator.py,experimental\arabic_morphological_weight_generator.py,31,unexpected indent,import sys,unexpected_indent
arabic_pronouns_generator.py,experimental\arabic_pronouns_generator.py,21,unexpected indent,import json  # noqa: F401,unexpected_indent
arabic_pronouns_generator_enhanced.py,experimental\arabic_pronouns_generator_enhanced.py,17,unexpected indent,import re,unexpected_indent
arabic_relative_pronouns_advanced_tester.py,experimental\arabic_relative_pronouns_advanced_tester.py,19,unexpected indent,import json  # noqa: F401,unexpected_indent
arabic_relative_pronouns_generator.py,experimental\arabic_relative_pronouns_generator.py,17,unexpected indent,import logging,unexpected_indent
arabic_syllable_generator.py,experimental\arabic_syllable_generator.py,30,unexpected indent,import sys,unexpected_indent
comprehensive_arabic_verb_syllable_generator.py,experimental\comprehensive_arabic_verb_syllable_generator.py,21,unexpected indent,from dataclasses import dataclass,unexpected_indent
final_comprehensive_report_generator.py,experimental\final_comprehensive_report_generator.py,18,unexpected indent,import json  # noqa: F401,unexpected_indent
visual_heatmap_generator.py,experimental\visual_heatmap_generator.py,11,unexpected indent,import matplotlib.pyplot as plt,unexpected_indent
conftest.py,tests\conftest.py,10,unexpected indent,import pytest  # noqa: F401,unexpected_indent
engine_batch_runner.py,tests\engine_batch_runner.py,10,unexpected indent,import time,unexpected_indent
engine_health_monitor.py,tests\engine_health_monitor.py,10,unexpected indent,from pathlib import Path,unexpected_indent
test_all_fixed_engines.py,tests\test_all_fixed_engines.py,14,unexpected indent,import sys  # noqa: F401,unexpected_indent
test_arabic_math_concepts.py,tests\test_arabic_math_concepts.py,18,unexpected indent,import sys  # noqa: F401,unexpected_indent
test_arabic_system.py,tests\test_arabic_system.py,10,unexpected indent,import pytest  # noqa: F401,unexpected_indent
test_comprehensive_engines.py,tests\test_comprehensive_engines.py,10,unexpected indent,import sys,unexpected_indent
test_core_integration.py,tests\test_core_integration.py,10,unexpected indent,import sys,unexpected_indent
test_hello_world.py,tests\test_hello_world.py,5,unexpected indent,def test_hello_world():  # type: ignore[no-untyped-def],unexpected_indent
test_morphological_weights.py,tests\test_morphological_weights.py,11,unexpected indent,try:,unexpected_indent
test_phoneme_integration.py,tests\test_phoneme_integration.py,11,unexpected indent,import sys  # noqa: F401,unexpected_indent
test_phoneme_processing.py,tests\test_phoneme_processing.py,10,unexpected indent,import pytest  # noqa: F401,unexpected_indent
test_phoneme_simple.py,tests\test_phoneme_simple.py,10,unexpected indent,def test_phoneme_simple():  # type: ignore[no-untyped def],unexpected_indent
test_proper_names_examples.py,tests\test_proper_names_examples.py,12,unexpected indent,"from advanced_arabic_proper_names_generator import (  # noqa: F401,",unexpected_indent
test_syllable_engine.py,tests\test_syllable_engine.py,13,unexpected indent,import sys  # noqa: F401,unexpected_indent
test_syllable_generator.py,tests\test_syllable_generator.py,11,unexpected indent,try:,unexpected_indent
test_syllable_processing.py,tests\test_syllable_processing.py,10,unexpected indent,import pytest  # noqa: F401,unexpected_indent
test_syllable_readiness.py,tests\test_syllable_readiness.py,10,unexpected indent,try:,unexpected_indent
test_waw_hamza.py,tests\test_waw_hamza.py,13,unexpected indent,def test_arabic_waw_hamza():  # type: ignore[no-untyped def],unexpected_indent
test_word.py,tests\test_word.py,10,unexpected indent,import sys  # noqa: F401,unexpected_indent
test_zero_layer_comprehensive.py,tests\test_zero_layer_comprehensive.py,15,unexpected indent,import sys  # noqa: F401,unexpected_indent
arabic_nlp_status_report.py,tools\arabic_nlp_status_report.py,12,unexpected indent,def main():  # type: ignore[no-untyped def],unexpected_indent
cli_text_processor.py,tools\cli_text_processor.py,10,unexpected indent,import json,unexpected_indent
comprehensive_file_analysis.py,tools\comprehensive_file_analysis.py,15,unexpected indent,import os,unexpected_indent
comprehensive_syntax_batch_fixer.py,tools\comprehensive_syntax_batch_fixer.py,14,unexpected indent,import os,unexpected_indent
critical_syntax_fixer.py,tools\critical_syntax_fixer.py,9,unexpected indent,import re,unexpected_indent
emergency_syntax_fixer.py,tools\emergency_syntax_fixer.py,9,unexpected indent,import os,unexpected_indent
final_arrow_syntax_fixer.py,tools\final_arrow_syntax_fixer.py,13,unexpected indent,import logging,unexpected_indent
final_comprehensive_report.py,tools\final_comprehensive_report.py,13,unexpected indent,from pathlib import Path,unexpected_indent
precision_violation_fixer.py,tools\precision_violation_fixer.py,15,unexpected indent,import re,unexpected_indent
PROJECT_COMPLETION_REPORT.py,tools\PROJECT_COMPLETION_REPORT.py,232,unexpected indent,print(__doc__),unexpected_indent
project_status_checker.py,tools\project_status_checker.py,8,unexpected indent,import ast,unexpected_indent
quality_status_report.py,tools\quality_status_report.py,9,unexpected indent,from pathlib import Path,unexpected_indent
quick_status.py,tools\quick_status.py,7,unexpected indent,"import ast,",unexpected_indent
simple_arrow_syntax_fixer.py,tools\simple_arrow_syntax_fixer.py,10,unexpected indent,from pathlib import Path,unexpected_indent
simple_text_cleaner.py,tools\simple_text_cleaner.py,13,unexpected indent,import os  # noqa: F401,unexpected_indent
strategic_action_plan.py,tools\strategic_action_plan.py,11,unexpected indent,import os,unexpected_indent
surgical_syntax_fixer_v2.py,tools\surgical_syntax_fixer_v2.py,18,unexpected indent,self.error_files: Set[str] = set(),unexpected_indent
surgical_syntax_fixer_v3.py,tools\surgical_syntax_fixer_v3.py,18,unexpected indent,import argparse,unexpected_indent
targeted_critical_syntax_fixer.py,tools\targeted_critical_syntax_fixer.py,14,unexpected indent,from pathlib import Path,unexpected_indent
text_heatmap_generator.py,tools\text_heatmap_generator.py,12,unexpected indent,import os,unexpected_indent
utf8_encoding_fixer.py,tools\utf8_encoding_fixer.py,27,unexpected indent,import os  # noqa: F401,unexpected_indent
utf8_terminal_cleaner.py,tools\utf8_terminal_cleaner.py,14,unexpected indent,import os  # noqa: F401,unexpected_indent
validate_tools_ast.py,tools\validate_tools_ast.py,1,invalid syntax,"import ast,",unknown
test_base_engine.py,tests\test_core\test_base_engine.py,5,unexpected indent,def test_base_engine_functionality():  # type: ignore[no-untyped-def],unexpected_indent
test_config.py,tests\test_core\test_config.py,5,unexpected indent,def test_configuration_loading():  # type: ignore[no-untyped-def],unexpected_indent
test_engine.py,tests\test_nlp\test_derivation\test_engine.py,5,unexpected indent,def test_derivation_engine():  # type: ignore[no-untyped-def],unexpected_indent
__init__.py,tests\test_nlp\test_derivation\__init__.py,5,unexpected indent,def test_placeholder():  # type: ignore[no-untyped-def],unexpected_indent
test_engine.py,tests\test_nlp\test_frozen_root\test_engine.py,5,unexpected indent,def test_frozen_root():  # type: ignore[no-untyped-def],unexpected_indent
__init__.py,tests\test_nlp\test_frozen_root\__init__.py,5,unexpected indent,def test_placeholder():  # type: ignore[no-untyped-def],unexpected_indent
test_engine.py,tests\test_nlp\test_inflection\test_engine.py,5,unexpected indent,def test_inflection_engine():  # type: ignore[no-untyped-def],unexpected_indent
__init__.py,tests\test_nlp\test_inflection\__init__.py,5,unexpected indent,def test_hello_world():  # type: ignore[no-untyped-def],unexpected_indent
test_engine.py,tests\test_nlp\test_morphology\test_engine.py,5,unexpected indent,def test_morphology_engine():  # type: ignore[no-untyped-def],unexpected_indent
__init__.py,tests\test_nlp\test_morphology\__init__.py,5,unexpected indent,def test_placeholder():  # type: ignore[no-untyped-def],unexpected_indent
test_engine.py,tests\test_nlp\test_phoneme\test_engine.py,5,unexpected indent,def test_phoneme_processing():  # type: ignore[no-untyped-def],unexpected_indent
__init__.py,tests\test_nlp\test_phoneme\__init__.py,5,unexpected indent,def test_phoneme_processing():  # type: ignore[no-untyped-def],unexpected_indent
test_engine.py,tests\test_nlp\test_phonological\test_engine.py,5,unexpected indent,def test_phonological_processing():  # type: ignore[no-untyped-def],unexpected_indent
__init__.py,tests\test_nlp\test_phonological\__init__.py,5,unexpected indent,def test_phonological_processing():  # type: ignore[no-untyped-def],unexpected_indent
test_engine.py,tests\test_nlp\test_syllable\test_engine.py,5,unexpected indent,def test_syllable_processing():  # type: ignore[no-untyped-def],unexpected_indent
__init__.py,tests\test_nlp\test_syllable\__init__.py,5,unexpected indent,def test_hello_world():  # type: ignore[no-untyped-def],unexpected_indent
test_engine.py,tests\test_nlp\test_weight\test_engine.py,5,unexpected indent,def test_weight_calculation():  # type: ignore[no-untyped-def],unexpected_indent
__init__.py,tests\test_nlp\test_weight\__init__.py,5,unexpected indent,def test_weight_calculation():  # type: ignore[no-untyped-def],unexpected_indent
base_engine.py,core\nlp\base_engine.py,2,unexpected indent,import ast,unexpected_indent
engine.py,core\nlp\derivation\engine.py,13,unexpected indent,import logging  # noqa: F401,unexpected_indent
__init__.py,core\nlp\derivation\__init__.py,18,unexpected indent,from .engine import (  # noqa: F401,unexpected_indent
engine.py,core\nlp\frozen_root\engine.py,13,unexpected indent,import logging  # noqa: F401,unexpected_indent
engine_new.py,core\nlp\frozen_root\engine_new.py,13,unexpected indent,import logging  # noqa: F401,unexpected_indent
__init__.py,core\nlp\frozen_root\__init__.py,36,unexpected indent,from .models.classifier import (,unexpected_indent
engine.py,core\nlp\full_pipeline\engine.py,12,unexpected indent,import logging  # noqa: F401,unexpected_indent
engine.py,core\nlp\grammatical_particles\engine.py,12,unexpected indent,import logging  # noqa: F401,unexpected_indent
__init__.py,core\nlp\grammatical_particles\__init__.py,31,unexpected indent,__all__ = ['GrammaticalParticlesEngine'],unexpected_indent
engine.py,core\nlp\inflection\engine.py,12,unexpected indent,import logging  # noqa: F401,unexpected_indent
__init__.py,core\nlp\inflection\__init__.py,26,unexpected indent,"from .engine import InflectionEngine, ConjugationResult  # noqa: F401,",unexpected_indent
engine.py,core\nlp\morphology\engine.py,12,unexpected indent,import logging  # noqa: F401,unexpected_indent
engine.py,core\nlp\particles\engine.py,12,unexpected indent,import logging  # noqa: F401,unexpected_indent
engine.py,core\nlp\phoneme\engine.py,13,unexpected indent,import logging  # noqa: F401,unexpected_indent
__init__.py,core\nlp\phoneme\__init__.py,12,unexpected indent,"from .engine from unified_phonemes import get_unified_phonemes, extract_phonemes, get_phonetic_features, is_emphatic",unexpected_indent
engine.py,core\nlp\phoneme_advanced\engine.py,27,unexpected indent,"from typing import Dict, List, Tuple, Optional, Union",unexpected_indent
api.py,core\nlp\phonological\api.py,12,unexpected indent,"from flask import Flask, request, jsonify, Blueprint",unexpected_indent
engine.py,core\nlp\phonological\engine.py,13,unexpected indent,import logging  # noqa: F401,unexpected_indent
engine_old.py,core\nlp\phonological\engine_old.py,13,unexpected indent,import yaml,unexpected_indent
engine.py,core\nlp\phonology\engine.py,12,unexpected indent,import logging  # noqa: F401,unexpected_indent
engine_clean.py,core\nlp\phonology\engine_clean.py,27,unexpected indent,import logging,unexpected_indent
engine.py,core\nlp\syllable\engine.py,13,unexpected indent,import logging  # noqa: F401,unexpected_indent
engine_advanced.py,core\nlp\syllable\engine_advanced.py,8,unexpected indent,import logging,unexpected_indent
__init__.py,core\nlp\syllable\__init__.py,17,unexpected indent,from .engine import SyllabicUnitEngine  # noqa: F401,unexpected_indent
engine.py,core\nlp\weight\engine.py,12,unexpected indent,import logging  # noqa: F401,unexpected_indent
analyzer.py,core\nlp\weight\models\analyzer.py,33,unexpected indent,import re,unexpected_indent
segmenter.py,core\nlp\syllable\models\segmenter.py,18,unexpected indent,import logging  # noqa: F401,unexpected_indent
templates.py,core\nlp\syllable\models\templates.py,18,unexpected indent,import json  # noqa: F401,unexpected_indent
__init__.py,core\nlp\syllable\models\__init__.py,16,unexpected indent,"from .templates import SyllabicUnitTemplateImporter, SyllabicUnitTemplate  # noqa: F401",unexpected_indent
assimilation.py,core\nlp\phonological\models\assimilation.py,17,unexpected indent,"from typing import List, Dict, Any",unexpected_indent
deletion.py,core\nlp\phonological\models\deletion.py,17,unexpected indent,"from typing import List, Dict, Any",unexpected_indent
inversion.py,core\nlp\phonological\models\inversion.py,17,unexpected indent,"from typing import List, Dict, Any",unexpected_indent
rule_base.py,core\nlp\phonological\models\rule_base.py,17,unexpected indent,"from abc import ABC, abstractmethod  # noqa: F401",unexpected_indent
__init__.py,core\nlp\phonological\models\__init__.py,17,unexpected indent,"from .rule_base import PhonoRule, ContextualRule, SequentialRule  # noqa: F401",unexpected_indent
particle_classify.py,core\nlp\particles\models\particle_classify.py,11,unterminated string literal (detected at line 11),"""""""""",unterminated_string
particle_segment.py,core\nlp\particles\models\particle_segment.py,35,unexpected indent,"Enterprise grade Arabic grammatical particles phoneme and syllabic_unit segmentation,",unexpected_indent
morphological_models.py,core\nlp\morphology\models\morphological_models.py,21,unexpected indent,import re,unexpected_indent
feature_space.py,core\nlp\inflection\models\feature_space.py,7,unterminated string literal (detected at line 7),"""""""""",unterminated_string
inflect.py,core\nlp\inflection\models\inflect.py,14,unexpected indent,import logging,unexpected_indent
classifier.py,core\nlp\frozen_root\models\classifier.py,33,unexpected indent,import logging  # noqa: F401,unexpected_indent
syllable_check.py,core\nlp\frozen_root\models\syllable_check.py,33,unexpected indent,"from typing import List, Dict, Tuple",unexpected_indent
verb_check.py,core\nlp\frozen_root\models\verb_check.py,33,unexpected indent,"from typing import Dict, List, Set, Tuple",unexpected_indent
__init__.py,core\nlp\frozen_root\models\__init__.py,40,unexpected indent,from .syllable_check import (,unexpected_indent
comparative.py,core\nlp\derivation\models\comparative.py,17,unexpected indent,import logging,unexpected_indent
derive.py,core\nlp\derivation\models\derive.py,18,unexpected indent,import logging  # noqa: F401,unexpected_indent
pattern_embed.py,core\nlp\derivation\models\pattern_embed.py,18,unexpected indent,import numpy as np  # noqa: F401,unexpected_indent
root_embed.py,core\nlp\derivation\models\root_embed.py,18,unexpected indent,import numpy as np  # noqa: F401,unexpected_indent
